epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.1412,1.41275,4.25658,1.21965,0.70256,0.0843,0.11829,0.08149,1.10975,3.21949,0.99444,8.24653e-05,8.24653e-05,8.24653e-05
2,30.2387,1.25575,2.65374,1.13124,0.65914,0.5351,0.53707,0.38399,1.09581,1.57136,1.07488,0.000164157,0.000164157,0.000164157
3,44.2064,1.22642,1.56716,1.15428,0.81274,0.78354,0.85915,0.62001,1.02952,0.81875,1.06903,0.000244199,0.000244199,0.000244199
4,57.5695,1.18773,1.15983,1.14836,0.90759,0.90678,0.95796,0.68678,1.06058,0.70397,1.08811,0.000242575,0.000242575,0.000242575
5,70.9508,1.16082,1.01059,1.14357,0.94821,0.93894,0.97719,0.68802,1.09022,0.63281,1.0834,0.0002401,0.0002401,0.0002401
6,84.3228,1.15163,0.91823,1.14065,0.94569,0.95176,0.98071,0.72109,0.98474,0.58112,1.06047,0.000237625,0.000237625,0.000237625
7,97.8011,1.1317,0.87853,1.13247,0.97266,0.94712,0.98396,0.71854,1.00234,0.55048,1.06207,0.00023515,0.00023515,0.00023515
8,111.167,1.12089,0.84256,1.12411,0.96126,0.97111,0.98808,0.72203,1.02475,0.55499,1.05885,0.000232675,0.000232675,0.000232675
9,125.667,1.11666,0.82377,1.12237,0.96069,0.96279,0.98665,0.69781,1.09711,0.54357,1.09172,0.0002302,0.0002302,0.0002302
10,139.379,1.10264,0.78792,1.11561,0.96857,0.96594,0.98774,0.71508,1.03959,0.51648,1.09327,0.000227725,0.000227725,0.000227725
11,153.345,1.09866,0.77846,1.11532,0.97186,0.96618,0.98822,0.71016,1.05549,0.52181,1.08588,0.00022525,0.00022525,0.00022525
12,168.231,1.08097,0.74689,1.10955,0.96804,0.95639,0.9845,0.70166,1.08453,0.51473,1.1198,0.000222775,0.000222775,0.000222775
13,182.835,1.08209,0.73225,1.1163,0.97296,0.96762,0.98608,0.70679,1.01151,0.49385,1.072,0.0002203,0.0002203,0.0002203
14,197.435,1.06994,0.72981,1.10878,0.96786,0.97321,0.98842,0.70754,1.03897,0.49304,1.09562,0.000217825,0.000217825,0.000217825
15,212.015,1.0637,0.71838,1.10649,0.98182,0.96146,0.98788,0.71338,1.03763,0.47993,1.08779,0.00021535,0.00021535,0.00021535
16,226.546,1.05795,0.69074,1.10617,0.97291,0.97244,0.98938,0.69422,1.09104,0.4887,1.12686,0.000212875,0.000212875,0.000212875
17,241.293,1.05005,0.69861,1.1071,0.96732,0.97552,0.98954,0.71915,1.01238,0.48181,1.07835,0.0002104,0.0002104,0.0002104
18,256.265,1.04082,0.68001,1.10176,0.96928,0.96483,0.98624,0.71327,1.02382,0.48711,1.08034,0.000207925,0.000207925,0.000207925
19,270.955,1.04049,0.67706,1.10379,0.97675,0.96023,0.98695,0.71753,1.0311,0.47149,1.08559,0.00020545,0.00020545,0.00020545
20,285.679,1.03635,0.67302,1.0987,0.98005,0.9627,0.98834,0.72199,0.9881,0.45538,1.07447,0.000202975,0.000202975,0.000202975
21,300.452,1.01853,0.65687,1.08983,0.97406,0.97004,0.98941,0.70525,1.04572,0.47462,1.11402,0.0002005,0.0002005,0.0002005
22,315.333,1.02557,0.65016,1.09061,0.97408,0.96221,0.98446,0.70111,1.0575,0.46252,1.11422,0.000198025,0.000198025,0.000198025
23,330.139,1.01056,0.63974,1.09074,0.96318,0.96568,0.98429,0.70152,1.06354,0.46878,1.11923,0.00019555,0.00019555,0.00019555
24,344.94,1.00161,0.63379,1.08297,0.97645,0.96255,0.98363,0.69975,1.04745,0.46549,1.10943,0.000193075,0.000193075,0.000193075
25,359.622,1.00318,0.63254,1.08499,0.96974,0.96911,0.98987,0.68778,1.13357,0.46447,1.16709,0.0001906,0.0001906,0.0001906
26,374.321,0.99099,0.62383,1.07961,0.97093,0.97005,0.98484,0.70568,1.05521,0.45669,1.11505,0.000188125,0.000188125,0.000188125
27,389.012,0.98747,0.62289,1.07293,0.98294,0.97048,0.98856,0.69162,1.11641,0.46112,1.16695,0.00018565,0.00018565,0.00018565
28,403.531,0.97393,0.60653,1.07208,0.97529,0.96804,0.98344,0.68385,1.12095,0.46034,1.1652,0.000183175,0.000183175,0.000183175
29,417.984,0.96723,0.60156,1.06836,0.97811,0.96771,0.98695,0.69039,1.10042,0.46046,1.13904,0.0001807,0.0001807,0.0001807
30,432.534,0.95946,0.60237,1.06531,0.97646,0.97077,0.98704,0.70235,1.07341,0.44707,1.13245,0.000178225,0.000178225,0.000178225
31,447.132,0.95485,0.59,1.06415,0.97823,0.96479,0.98679,0.7125,1.02899,0.43637,1.10615,0.00017575,0.00017575,0.00017575
32,461.691,0.94673,0.58463,1.05929,0.9798,0.9722,0.98889,0.70886,1.04158,0.44749,1.11168,0.000173275,0.000173275,0.000173275
33,476.238,0.9371,0.57864,1.05877,0.9794,0.97141,0.98726,0.69858,1.09335,0.44238,1.15497,0.0001708,0.0001708,0.0001708
34,490.856,0.93696,0.57586,1.05531,0.97945,0.96532,0.98286,0.68952,1.08539,0.44291,1.14801,0.000168325,0.000168325,0.000168325
35,505.708,0.93111,0.56969,1.05165,0.98238,0.97083,0.98776,0.70509,1.0706,0.43585,1.12898,0.00016585,0.00016585,0.00016585
36,520.604,0.92335,0.57129,1.05281,0.97737,0.96995,0.98468,0.69801,1.0799,0.43224,1.13485,0.000163375,0.000163375,0.000163375
37,535.359,0.92357,0.57336,1.0488,0.97347,0.97323,0.98383,0.70454,1.06767,0.43437,1.13338,0.0001609,0.0001609,0.0001609
38,550.197,0.91234,0.56149,1.04682,0.97108,0.97265,0.98454,0.68634,1.10302,0.44107,1.16921,0.000158425,0.000158425,0.000158425
39,564.9,0.90587,0.56335,1.04257,0.97762,0.96761,0.98306,0.68318,1.12743,0.44299,1.17567,0.00015595,0.00015595,0.00015595
40,579.673,0.9014,0.54856,1.04034,0.98438,0.96343,0.98553,0.68817,1.1092,0.44034,1.17144,0.000153475,0.000153475,0.000153475
41,594.378,0.88915,0.54507,1.03311,0.98118,0.96183,0.9854,0.68573,1.11552,0.43737,1.17557,0.000151,0.000151,0.000151
42,608.988,0.89495,0.54313,1.03791,0.98068,0.97656,0.98481,0.69382,1.10854,0.43653,1.1764,0.000148525,0.000148525,0.000148525
43,623.85,0.88938,0.54495,1.03502,0.98329,0.97031,0.9854,0.69037,1.08698,0.42751,1.15031,0.00014605,0.00014605,0.00014605
44,638.69,0.87819,0.53335,1.03021,0.98158,0.96809,0.98298,0.66663,1.15489,0.44571,1.19771,0.000143575,0.000143575,0.000143575
45,653.574,0.87316,0.5372,1.02804,0.97945,0.9726,0.98605,0.66873,1.17992,0.44824,1.22238,0.0001411,0.0001411,0.0001411
46,668.639,0.87832,0.52963,1.03263,0.97922,0.96971,0.98686,0.69947,1.06843,0.42148,1.14619,0.000138625,0.000138625,0.000138625
47,683.468,0.86638,0.53529,1.02616,0.98014,0.96516,0.98363,0.68132,1.1355,0.43414,1.19437,0.00013615,0.00013615,0.00013615
