epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.2545,1.49582,2.54519,1.14213,0.95042,0.85682,0.95942,0.52745,1.32,1.7847,1.10398,0.000661692,0.000661692,0.000661692
2,39.8794,1.36781,1.47067,1.06474,0.8707,0.82765,0.91675,0.5619,1.216,1.08866,1.05153,0.00129548,0.00129548,0.00129548
3,58.2255,1.34005,1.23644,1.07876,0.95774,0.88635,0.95772,0.58533,1.2316,1.02653,1.05145,0.00189627,0.00189627,0.00189627
4,76.807,1.34044,1.13055,1.04828,0.93143,0.91063,0.96343,0.61106,1.1297,0.92286,1.01583,0.0018515,0.0018515,0.0018515
5,94.6315,1.33007,1.04273,1.04208,0.9604,0.94841,0.97911,0.58995,1.23054,0.79816,1.03473,0.001802,0.001802,0.001802
6,113.856,1.30266,0.99487,1.03881,0.96654,0.93296,0.97782,0.64915,1.11297,0.73725,0.99999,0.0017525,0.0017525,0.0017525
7,132.705,1.32882,0.91013,1.07254,0.94161,0.90098,0.95459,0.62556,1.14578,0.73286,1.01636,0.001703,0.001703,0.001703
8,150.213,1.28454,0.85995,1.03172,0.96007,0.94972,0.9834,0.57827,1.2696,0.75929,1.05516,0.0016535,0.0016535,0.0016535
9,168.928,1.20722,0.81477,1.00213,0.96633,0.96204,0.98913,0.65044,1.12169,0.63496,1.01943,0.001604,0.001604,0.001604
10,186.391,1.21958,0.78466,1.00959,0.94511,0.96196,0.98589,0.63036,1.13575,0.69327,1.02648,0.0015545,0.0015545,0.0015545
11,204.976,1.2049,0.76508,0.99729,0.97129,0.94503,0.98606,0.68154,1.06871,0.64965,0.98491,0.001505,0.001505,0.001505
12,225.684,1.20216,0.73944,0.99563,0.92911,0.95193,0.97623,0.64317,1.10695,0.69008,0.99547,0.0014555,0.0014555,0.0014555
13,244.056,1.19473,0.7795,0.99709,0.95001,0.96089,0.98136,0.6738,1.00297,0.63387,0.96804,0.001406,0.001406,0.001406
14,263.104,1.19062,0.72805,0.99335,0.96354,0.94413,0.9873,0.67612,1.04238,0.5983,0.96794,0.0013565,0.0013565,0.0013565
15,281.398,1.20047,0.71511,1.00593,0.97147,0.95118,0.98856,0.6564,1.11906,0.6228,0.9914,0.001307,0.001307,0.001307
16,299.622,1.16142,0.71075,0.99513,0.94949,0.94506,0.98792,0.60119,1.23037,0.65764,1.03703,0.0012575,0.0012575,0.0012575
17,318.157,1.16857,0.69362,0.99323,0.94993,0.95397,0.97761,0.63694,1.10377,0.62996,0.98887,0.001208,0.001208,0.001208
18,337.186,1.148,0.67113,0.97228,0.94458,0.96648,0.98571,0.65755,1.10279,0.58403,0.98507,0.0011585,0.0011585,0.0011585
19,356.079,1.14832,0.66759,0.98947,0.95618,0.97765,0.99114,0.65188,1.13329,0.58107,0.99698,0.001109,0.001109,0.001109
20,375.126,1.15101,0.66417,0.97935,0.97315,0.94413,0.98737,0.67156,1.08685,0.56947,0.97713,0.0010595,0.0010595,0.0010595
21,393.534,1.14897,0.66535,0.98291,0.96715,0.94972,0.99061,0.67874,1.05505,0.5665,0.96839,0.00101,0.00101,0.00101
22,412.678,1.14875,0.65437,0.98184,0.971,0.96648,0.99239,0.68943,1.04932,0.53718,0.96066,0.0009605,0.0009605,0.0009605
23,431.738,1.1181,0.61955,0.97435,0.95686,0.96089,0.99074,0.70826,0.97068,0.53039,0.95224,0.000911,0.000911,0.000911
24,450.211,1.11159,0.61657,0.97036,0.9564,0.98047,0.98994,0.65163,1.16288,0.56818,0.99684,0.0008615,0.0008615,0.0008615
25,470.886,1.07773,0.59099,0.95598,0.96632,0.96165,0.9916,0.69609,1.01944,0.53036,0.96684,0.000812,0.000812,0.000812
26,492.595,1.10125,0.60595,0.96524,0.96184,0.96089,0.99094,0.68077,1.04787,0.54408,0.98508,0.0007625,0.0007625,0.0007625
27,510.143,1.08957,0.61598,0.95935,0.95531,0.97207,0.98706,0.70729,1.00938,0.52635,0.95433,0.000713,0.000713,0.000713
28,530.807,1.09601,0.59954,0.96659,0.96649,0.94972,0.99077,0.70126,1.01767,0.53291,0.95119,0.0006635,0.0006635,0.0006635
29,549.91,1.06732,0.58346,0.94178,0.95035,0.96231,0.99002,0.69364,1.03699,0.52169,0.95756,0.000614,0.000614,0.000614
30,568.801,1.045,0.56585,0.93683,0.9348,0.97765,0.98829,0.68879,1.08035,0.52758,0.97193,0.0005645,0.0005645,0.0005645
31,590.652,1.01645,0.53964,0.95613,0.96045,0.97765,0.98827,0.7004,0.99379,0.52122,0.94653,0.000515,0.000515,0.000515
32,608.999,1.00321,0.53508,0.93866,0.96238,0.96648,0.99031,0.67888,1.05038,0.51836,0.95981,0.0004655,0.0004655,0.0004655
33,627.953,0.99645,0.53081,0.9563,0.93451,0.97765,0.98934,0.71114,0.96053,0.49112,0.93858,0.000416,0.000416,0.000416
34,646.863,1.00231,0.52154,0.95284,0.94041,0.96648,0.98994,0.64642,1.16993,0.53156,1.00309,0.0003665,0.0003665,0.0003665
35,664.454,0.99798,0.52146,0.95171,0.95631,0.97207,0.99206,0.69402,1.02247,0.48253,0.95874,0.000317,0.000317,0.000317
36,682.899,0.9868,0.50594,0.95352,0.95068,0.98883,0.9924,0.69467,1.03925,0.4924,0.96447,0.0002675,0.0002675,0.0002675
37,701.483,0.9526,0.50202,0.93705,0.95117,0.97932,0.99214,0.69833,1.00655,0.47938,0.94831,0.000218,0.000218,0.000218
38,719.899,0.96439,0.49786,0.93849,0.97165,0.95729,0.99227,0.71586,0.97552,0.46502,0.94057,0.0001685,0.0001685,0.0001685
39,738.629,0.9423,0.4819,0.91478,0.98024,0.96089,0.99297,0.72897,0.96916,0.46578,0.93613,0.000119,0.000119,0.000119
40,757.773,0.93549,0.48046,0.93608,0.9663,0.96101,0.9925,0.71135,1.01688,0.47078,0.95301,6.95e-05,6.95e-05,6.95e-05
